Date,Daily Return,Mkt-RF,SMB,HML,RF,Strategy return,dividends,tc
2003-02-06,-2.70E-03,-0.0064,-0.0001,0.0017,0.00005,-0.001654737,0,0.001
2003-02-07,-4.46E-04,-0.0106,-0.0042,-0.0024,0.00005,-0.000479657,0.000083886,0
2003-02-10,-1.58E-03,0.0069,0.0009,0.0006,0.00005,-0.001556798,0.0000308,0
2003-02-11,-1.37E-03,-0.0071,0.003,-0.0026,0.00005,-0.001515562,0.000194408,0
2003-02-12,8.95E-05,-0.0125,0.0017,0.0013,0.00005,-0.002117525,0.002257019,0
2003-02-13,-2.41E-03,-0.0026,-0.0003,-0.0025,0.00005,-0.002509757,0.000147965,0
2003-02-14,-4.32E-03,0.019,-0.0084,-0.006,0.00005,-0.004508922,0.000234198,0
2003-02-18,3.66E-03,0.0197,-0.0042,-0.0006,0.00005,0.003423332,0.00028771,0
2003-02-19,3.28E-03,-0.007,-0.0029,-0.0001,0.00005,0.003045596,0.000285049,0
2003-02-20,-2.76E-04,-0.0083,0.0086,-0.0016,0.00005,-0.000459659,0.000233965,0
2003-02-21,-8.76E-04,0.0131,-0.0019,0.0009,0.00005,-0.001020394,0.000194695,0
2003-02-24,2.87E-03,-0.0178,0.0044,-0.0019,0.00005,0.002477019,0.000447761,0
2003-02-25,-2.88E-03,0.007,0.0005,-0.0017,0.00005,-0.002831615,0,0
2003-02-26,5.57E-04,-0.0122,0.0016,0.0048,0.00005,0.000607259,0,0
2003-02-27,2.92E-03,0.0115,-0.0028,-0.0016,0.00005,0.002973143,0,0
2003-02-28,2.60E-03,0.0041,-0.0076,0.0025,0.00005,0.002558259,0.00009375,0
2003-03-03,1.46E-03,-0.0067,0.0008,0.0049,0.00005,0.001513799,0,0
2003-03-04,9.03E-04,-0.0144,0.01,-0.0048,0.00005,0.000952531,0,0
2003-03-05,4.58E-04,0.0078,-0.0093,0.001,0.00005,0.00012909,0.00037873,0
2003-03-06,6.75E-06,-0.0084,0.0013,0.0012,0.00005,-4.93E-05,0.000106049,0
2003-03-07,-1.04E-03,0.0076,-0.0074,-0.0007,0.00005,-0.001127843,0.000139222,0
2003-03-10,-3.10E-04,-0.0236,0.0088,0.0001,0.00005,-0.000290442,0.00003072,0
2003-03-11,-2.03E-03,-0.0081,0.0091,-0.0061,0.00005,-0.002164072,0.0001887,0
