Date,Daily Return,Mkt-RF,SMB,HML,RF,Date,Strategy Return,Dividends Profit,Transaction Cost
2003-02-06,-0.001844731,-0.0064,-0.0001,0.0017,0.00005,2003-02-06,-0.001694731,0,0.0001
2003-02-07,-0.002479012,-0.0106,-0.0042,-0.0024,0.00005,2003-02-07,-0.001664102,0,0.00076491
2003-02-10,-0.00286766,0.0069,0.0009,0.0006,0.00005,2003-02-10,-0.002222233,0,0.000595427
2003-02-11,-0.003223848,-0.0071,0.003,-0.0026,0.00005,2003-02-11,-0.002580634,0,0.000593214
2003-02-12,0.001779506,-0.0125,0.0017,0.0013,0.00005,2003-02-12,0.000860511,0.001617971,0.000648976
2003-02-13,-0.000760525,-0.0026,-0.0003,-0.0025,0.00005,2003-02-13,-0.000578959,0.000465125,0.000596691
2003-02-14,-0.003959232,0.019,-0.0084,-0.006,0.00005,2003-02-14,-0.003405375,0,0.000503857
2003-02-18,0.009715688,0.0197,-0.0042,-0.0006,0.00005,2003-02-18,0.010344862,0,0.000579174
2003-02-19,0.006898253,-0.007,-0.0029,-0.0001,0.00005,2003-02-19,0.005726483,0.001819727,0.000597957
2003-02-20,-0.001067966,-0.0083,0.0086,-0.0016,0.00005,2003-02-20,-0.000372562,0,0.000645404
2003-02-21,0.000475509,0.0131,-0.0019,0.0009,0.00005,2003-02-21,0.001253261,0,0.000727752
2003-02-24,0.002088738,-0.0178,0.0044,-0.0019,0.00005,2003-02-24,0.002807914,0.000162463,0.000831639
2003-02-25,-0.002121104,0.007,0.0005,-0.0017,0.00005,2003-02-25,-0.001339494,0,0.00073161
2003-02-26,0.001323251,-0.0122,0.0016,0.0048,0.00005,2003-02-26,0.00217838,0,0.000805129
2003-02-27,0.006101522,0.0115,-0.0028,-0.0016,0.00005,2003-02-27,0.006897142,0,0.00074562
2003-02-28,0.00404123,0.0041,-0.0076,0.0025,0.00005,2003-02-28,0.005038981,0,0.000947751
2003-03-03,0.003952272,-0.0067,0.0008,0.0049,0.00005,2003-03-03,0.004719355,0,0.000717083
2003-03-04,-0.000062285,-0.0144,0.01,-0.0048,0.00005,2003-03-04,0.000712782,0,0.000725067
2003-03-05,0.000678136,0.0078,-0.0093,0.001,0.00005,2003-03-05,0.001756982,0,0.001028846
2003-03-06,-0.001223666,-0.0084,0.0013,0.0012,0.00005,2003-03-06,-0.000297273,0,0.000876393
2003-03-07,-0.006223141,0.0076,-0.0074,-0.0007,0.00005,2003-03-07,-0.00520831,0,0.000964831
2003-03-10,-0.004006618,-0.0236,0.0088,0.0001,0.00005,2003-03-10,-0.003298175,0,0.000658443
2003-03-11,-0.005400567,-0.0081,0.0091,-0.0061,0.00005,2003-03-11,-0.004665326,0,0.000685241
2003-03-12,-0.003015089,0.0032,-0.003,-0.0062,0.00005,2003-03-12,-0.00309416,0.000874731,0.00074566
2003-03-13,-0.005989745,0.0339,-0.009,-0.0056,0.00005,2003-03-13,-0.005435489,0.000114576,0.000618832
2003-03-14,0.019285665,0.0013,-0.0052,0.0024,0.00005,2003-03-14,0.020162602,0,0.000826937
2003-03-17,0.006587075,0.0341,-0.0077,-0.0016,0.00005,2003-03-17,0.0071671,0,0.000530025
2003-03-18,0.006145983,0.0044,0.006,-0.0079,0.00005,2003-03-18,0.006792496,0.000176624,0.000773137
2003-03-19,-0.001508021,0.0072,-0.0042,-0.0029,0.00005,2003-03-19,-0.000824605,0,0.000633416
2003-03-20,-0.004237288,0.0028,-0.0003,0.0055,0.00005,2003-03-20,-0.003596116,0,0.000591172
2003-03-21,0.006129141,0.0219,-0.0082,-0.0009,0.00005,2003-03-21,0.006729364,0.000229311,0.000779534
2003-03-24,0.004294165,-0.0336,0.0124,0.0015,0.00005,2003-03-24,0.005007262,0,0.000663097
2003-03-25,0.001354682,0.0121,-0.0012,-0.0002,0.00005,2003-03-25,0.00201012,0,0.000605438
2003-03-26,0.004593316,-0.0055,-0.0015,-0.0037,0.00005,2003-03-26,0.0053742,0,0.000730884
2003-03-27,0.004427291,-0.0009,0.0067,-0.0002,0.00005,2003-03-27,0.003654558,0.001658795,0.000836062
2003-03-28,0.001984227,-0.0048,0.003,0.0017,0.00005,2003-03-28,0.002534772,0,0.000500545
2003-03-31,0.000135325,-0.0165,0.0077,0.0034,0.00005,2003-03-31,0.000839064,0,0.000653739
2003-04-01,0.006108504,0.0112,-0.0027,0.0032,0.00005,2003-04-01,0.006751668,0.00019182,0.000784984
2003-04-02,0.008035435,0.026,-0.0035,-0.0077,0.00005,2003-04-02,0.009024043,0,0.000938608
2003-04-03,-0.001617401,-0.0049,0.0044,-0.0005,0.00005,2003-04-03,-0.00057215,0,0.000995251
2003-04-04,-0.000998739,0.0015,-0.0078,0.0044,0.00005,2003-04-04,-0.000172754,0,0.000775985
2003-04-07,0.001475465,0.0018,0.004,0.006,0.00005,2003-04-07,0.002272259,0,0.000746794
2003-04-08,-0.002214963,-0.0024,-0.0033,0.0016,0.00005,2003-04-08,-0.001544679,0,0.000620284
2003-04-09,-0.000376411,-0.0128,0.0049,0.0077,0.00005,2003-04-09,-0.000433813,0.000770206,0.000662804
2003-04-10,0.001977432,0.0052,-0.0026,-0.0023,0.00005,2003-04-10,0.002837192,0,0.00080976
2003-04-11,0.000260058,-0.0032,0.0005,-0.0008,0.00005,2003-04-11,0.000223528,0.000571184,0.000484654
2003-04-14,0.00069167,0.0188,-0.004,-0.0002,0.00005,2003-04-14,0.001294649,0,0.000552979
2003-04-15,0.007789542,0.0062,0.0005,-0.0036,0.00005,2003-04-15,0.008112514,0.000447375,0.000720347
2003-04-16,0.003065484,-0.0111,0.0061,-0.0004,0.00005,2003-04-16,0.003751299,0.00013518,0.000770995
2003-04-17,0.002755602,0.0152,0.0002,0.0006,0.00005,2003-04-17,0.003399973,0.000259977,0.000854348
2003-04-21,0.000762962,-0.0011,0.004,0.0004,0.00005,2003-04-21,0.001542935,0,0.000729973
2003-04-22,0.001364004,0.0207,-0.0093,0.0024,0.00005,2003-04-22,0.001751393,0.000264537,0.000601926
2003-04-23,0.003465853,0.0089,-0.0027,0.0036,0.00005,2003-04-23,0.004085413,0,0.00056956
2003-04-24,0.003032723,-0.0081,0.0055,-0.002,0.00005,2003-04-24,0.003439238,0,0.000356515
2003-04-25,-0.004692213,-0.013,0.0064,-0.0007,0.00005,2003-04-25,-0.00408847,0,0.000553743
2003-04-28,0.003911432,0.0176,-0.0002,-0.0012,0.00005,2003-04-28,0.00452288,0,0.000561448
2003-04-29,0.013437851,0.0034,-0.0024,-0.0025,0.00005,2003-04-29,0.014114448,0,0.000626597
2003-04-30,0.001552666,0.0003,0.0074,0.0024,0.00005,2003-04-30,0.002106637,0,0.000503971
2003-05-01,0.007248889,-0.0003,0.0041,-0.0022,0.00004,2003-05-01,0.007780455,0,0.000491566
2003-05-02,0.001460135,0.0156,0.0056,-0.004,0.00004,2003-05-02,0.000916476,0.001118462,0.000534803
2003-05-05,0.010468863,-0.0019,0.0083,-0.0037,0.00004,2003-05-05,0.011136799,0,0.000627936
2003-05-06,-0.000344926,0.008,-0.0015,0.0014,0.00004,2003-05-06,0.000117572,0,0.000422498
2003-05-07,0.000323569,-0.0046,-0.0009,0.006,0.00004,2003-05-07,0.000863745,0,0.000500176
2003-05-08,-0.00329511,-0.0099,0.0051,0.0006,0.00004,2003-05-08,-0.00267224,0,0.00058287
2003-05-09,-0.001310159,0.0139,0.001,-0.0016,0.00004,2003-05-09,-0.001273757,0.0004485,0.000444902
2003-05-12,0.000264326,0.0125,-0.001,-0.0009,0.00004,2003-05-12,0.000807607,0,0.000503281
2003-05-13,0.003994488,-0.0023,0.0042,0.0036,0.00004,2003-05-13,0.003582499,0.000830165,0.000378176
2003-05-14,0.004043341,-0.0023,0.0026,0.0004,0.00004,2003-05-14,0.004545108,0.000210588,0.000672355
2003-05-15,0.001306046,0.0074,-0.0016,-0.0003,0.00004,2003-05-15,0.001900316,0,0.00055427
2003-05-16,-0.002660613,-0.0031,-0.017,0.0107,0.00004,2003-05-16,-0.002734935,0.000422158,0.000307836
2003-05-19,0.006021511,-0.023,0.0085,0.0001,0.00004,2003-05-19,0.006614709,0,0.000553198
2003-05-20,0.000718582,-0.0012,0.0014,-0.0008,0.00004,2003-05-20,0.001100071,0.000239655,0.000581144
2003-05-21,0.000140004,0.0041,-0.0026,0.0036,0.00004,2003-05-21,0.000123115,0.00079064,0.000733751
2003-05-22,0.003179901,0.0096,-0.0019,0.0005,0.00004,2003-05-22,0.003868031,0,0.00064813
2003-05-23,0.004702233,0.0026,0.0028,0.0044,0.00004,2003-05-23,0.004928957,0.0001892,0.000375924
2003-05-27,0.004374345,0.0195,0.0057,-0.0113,0.00004,2003-05-27,0.004904929,0,0.000490584
2003-05-28,0.010425557,0.0022,0.0075,-0.0044,0.00004,2003-05-28,0.01097609,0,0.000510533
2003-05-29,0.002791209,-0.0026,0.0099,0.002,0.00004,2003-05-29,0.003382935,0,0.000551726
2003-05-30,0.003827486,0.0153,0.0026,0.0004,0.00004,2003-05-30,0.004508887,0,0.000641401
2003-06-02,0.003259048,0.0039,-0.0032,0.0068,0.00005,2003-06-02,0.003861456,0,0.000552408
2003-06-03,0.005419617,0.0039,0.0011,-0.0056,0.00005,2003-06-03,0.006057069,0,0.000587452
2003-06-04,0.004532237,0.0156,0.0011,0.0013,0.00005,2003-06-04,0.005203162,0,0.000620925
2003-06-05,0.003288252,0.0055,0.009,-0.0072,0.00005,2003-06-05,0.003471521,0.000263235,0.000396504
2003-06-06,0.005920168,-0.0033,-0.001,-0.004,0.00005,2003-06-06,0.005425283,0.00109471,0.000549825
2003-06-09,-0.004248334,-0.0131,-0.0024,0.0001,0.00005,2003-06-09,-0.003688795,0,0.000509539
2003-06-10,0.001538392,0.0095,0.0046,-0.0002,0.00005,2003-06-10,0.001207109,0.000917651,0.000536368
2003-06-11,0.002074202,0.0129,-0.0046,0.0038,0.00005,2003-06-11,0.002593455,0.000170755,0.000640008
2003-06-12,0.000621652,0.0018,0.0002,0.0036,0.00005,2003-06-12,0.001180095,0,0.000508443
