Date,Daily Return,Mkt-RF,SMB,HML,RF,Strategy Return,Dividends,Transaction Cost
2003-02-06,-0.008011718,-0.0064,-0.0001,0.0017,0.00005,-0.005961718,0,0.002
2003-02-07,0.000626317,-0.0106,-0.0042,-0.0024,0.00005,0.001899358,0,0.001223041
2003-02-10,0.006082205,0.0069,0.0009,0.0006,0.00005,0.008383588,-0.00107384,0.001177543
2003-02-11,0.001301719,-0.0071,0.003,-0.0026,0.00005,0.002423259,0,0.00107154
2003-02-12,0.005508318,-0.0125,0.0017,0.0013,0.00005,0.0071528,-0.00021504,0.001379442
2003-02-13,0.006157949,-0.0026,-0.0003,-0.0025,0.00005,0.008210207,-0.000721356,0.001280902
2003-02-14,0.004179201,0.019,-0.0084,-0.006,0.00005,0.004979616,0.000465125,0.00121554
2003-02-18,0.006084261,0.0197,-0.0042,-0.0006,0.00005,0.007677288,-0.00018395,0.001359077
2003-02-19,0.010996109,-0.007,-0.0029,-0.0001,0.00005,0.014603393,-0.00213866,0.001418624
2003-02-20,0.006284231,-0.0083,0.0086,-0.0016,0.00005,0.006345342,0.00151544,0.001526551
2003-02-21,-0.002092866,0.0131,-0.0019,0.0009,0.00005,-0.000618866,0,0.001424
2003-02-24,0.004290933,-0.0178,0.0044,-0.0019,0.00005,0.006227826,-0.000412844,0.001474049
2003-02-25,0.007801227,0.007,0.0005,-0.0017,0.00005,0.009437599,-0.000118467,0.001467905
2003-02-26,0.00124554,-0.0122,0.0016,0.0048,0.00005,0.003163363,0,0.001867823
2003-02-27,0.007633187,0.0115,-0.0028,-0.0016,0.00005,0.009267386,0,0.001584199
2003-02-28,0.00192207,0.0041,-0.0076,0.0025,0.00005,0.003943963,0,0.001971893
2003-03-03,0.001096677,-0.0067,0.0008,0.0049,0.00005,0.003376668,-0.000416925,0.001813066
2003-03-04,0.004130422,-0.0144,0.01,-0.0048,0.00005,0.00579381,0,0.001613388
2003-03-05,0.001680449,0.0078,-0.0093,0.001,0.00005,0.003397162,0,0.001666713
2003-03-06,0.005713969,-0.0084,0.0013,0.0012,0.00005,0.00738372,0,0.001619751
2003-03-07,-0.005137024,0.0076,-0.0074,-0.0007,0.00005,-0.003381706,0,0.001705318
2003-03-10,-0.008816091,-0.0236,0.0088,0.0001,0.00005,-0.005213339,-0.002100631,0.001452121
2003-03-11,-0.003171632,-0.0081,0.0091,-0.0061,0.00005,-0.001630976,0,0.001490656
2003-03-12,0.000726837,0.0032,-0.003,-0.0062,0.00005,0.002119428,0,0.001342591
2003-03-13,0.00499478,0.0339,-0.009,-0.0056,0.00005,0.006677851,-0.000445895,0.001187176
2003-03-14,-5.9E-07,0.0013,-0.0052,0.0024,0.00005,0.006003881,-0.004413139,0.001541332
2003-03-17,0.016267496,0.0341,-0.0077,-0.0016,0.00005,0.017535995,0,0.001218499
2003-03-18,0.005040499,0.0044,0.006,-0.0079,0.00005,0.006893062,0,0.001802563
2003-03-19,0.003431437,0.0072,-0.0042,-0.0029,0.00005,0.005150481,-0.000215532,0.001453512
2003-03-20,-0.003580091,0.0028,-0.0003,0.0055,0.00005,-0.002237468,0,0.001292623
2003-03-21,0.001725249,0.0219,-0.0082,-0.0009,0.00005,0.003152729,0,0.00137748
2003-03-24,0.000622214,-0.0336,0.0124,0.0015,0.00005,0.001686353,0.000229311,0.00124345
2003-03-25,0.001852795,0.0121,-0.0012,-0.0002,0.00005,0.003081472,0,0.001178677
2003-03-26,0.010476903,-0.0055,-0.0015,-0.0037,0.00005,0.012173571,0,0.001646668
2003-03-27,-0.000613966,-0.0009,0.0067,-0.0002,0.00005,0.000970647,0,0.001534613
2003-03-28,0.003996409,-0.0048,0.003,0.0017,0.00005,0.003626811,0.001658795,0.001239197
2003-03-31,0.004521964,-0.0165,0.0077,0.0034,0.00005,0.006183686,0,0.001611722
2003-04-01,-0.00206823,0.0112,-0.0027,0.0032,0.00005,-0.0004205,0,0.00159773
2003-04-02,0.00791842,0.026,-0.0035,-0.0077,0.00005,0.009332828,0.00019182,0.001556228
2003-04-03,0.003066491,-0.0049,0.0044,-0.0005,0.00005,0.005143364,-0.000267048,0.001759825
2003-04-04,-0.004028826,0.0015,-0.0078,0.0044,0.00005,-0.00233885,0,0.001639976
2003-04-07,-0.005218239,0.0018,0.004,0.006,0.00005,-0.003740705,0,0.001427534
2003-04-08,-0.002120521,-0.0024,-0.0033,0.0016,0.00005,-0.000230379,-0.000522784,0.001317358
2003-04-09,0.001129625,-0.0128,0.0049,0.0077,0.00005,0.002703073,-0.000137802,0.001385646
2003-04-10,0.00081109,0.0052,-0.0026,-0.0023,0.00005,0.001849859,0.0002836,0.001272369
2003-04-11,0.003945344,-0.0032,0.0005,-0.0008,0.00005,0.005397366,-0.000192,0.001210022
2003-04-14,0.002831507,0.0188,-0.004,-0.0002,0.00005,0.004973328,-0.000770323,0.001321498
2003-04-15,-0.003311041,0.0062,0.0005,-0.0036,0.00005,-0.001617226,0,0.001643815
2003-04-16,0.010672825,-0.0111,0.0061,-0.0004,0.00005,0.011816402,0.000447375,0.001540952
2003-04-17,0.001086121,0.0152,0.0002,0.0006,0.00005,0.002733726,0.00013518,0.001732785
2003-04-21,0.00129019,-0.0011,0.004,0.0004,0.00005,0.002648664,0.000259977,0.001568451
2003-04-22,-0.008607347,0.0207,-0.0093,0.0024,0.00005,-0.007147845,-0.000296599,0.001112903
2003-04-23,0.000658762,0.0089,-0.0027,0.0036,0.00005,0.00186949,0.000107922,0.00126865
2003-04-24,0.005014904,-0.0081,0.0055,-0.002,0.00005,0.006135065,0,0.001070161
2003-04-25,0.002273328,-0.013,0.0064,-0.0007,0.00005,0.003817442,-0.000308949,0.001185165
2003-04-28,0.000262899,0.0176,-0.0002,-0.0012,0.00005,0.001652891,-0.0002775,0.001062492
2003-04-29,0.004543273,0.0034,-0.0024,-0.0025,0.00005,0.005928841,0,0.001335568
2003-04-30,0.00833088,0.0003,0.0074,0.0024,0.00005,0.009430767,0,0.001049887
2003-05-01,-0.006689598,-0.0003,0.0041,-0.0022,0.00004,-0.005038948,-0.000459788,0.001150862
2003-05-02,0.009096659,0.0156,0.0056,-0.004,0.00004,0.010484641,0,0.001347982
2003-05-05,-0.001019236,-0.0019,0.0083,-0.0037,0.00004,-0.00056536,0.001118462,0.001532338
2003-05-06,0.006844802,0.008,-0.0015,0.0014,0.00004,0.008024154,-0.0001314,0.001007952
2003-05-07,-0.007526225,-0.0046,-0.0009,0.006,0.00004,-0.006451483,0,0.001034742
2003-05-08,-0.001676476,-0.0099,0.0051,0.0006,0.00004,-0.000406049,0,0.001230427
2003-05-09,0.002077701,0.0139,0.001,-0.0016,0.00004,0.003274759,0,0.001157058
2003-05-12,0.000821862,0.0125,-0.001,-0.0009,0.00004,0.001563688,0.0004485,0.001150326
2003-05-13,-0.002801594,-0.0023,0.0042,0.0036,0.00004,-0.001674257,0,0.001087337
2003-05-14,-0.000496072,-0.0023,0.0026,0.0004,0.00004,0.000589151,0.000395769,0.001440992
2003-05-15,-0.000181978,0.0074,-0.0016,-0.0003,0.00004,0.00177254,-0.000719802,0.001194716
2003-05-16,0.002058165,-0.0031,-0.017,0.0107,0.00004,0.003087545,0,0.00098938
2003-05-19,-0.004821989,-0.023,0.0085,0.0001,0.00004,-0.003982866,0.000422158,0.001221281
2003-05-20,0.005685915,-0.0012,0.0014,-0.0008,0.00004,0.007096349,-0.000264375,0.001106059
2003-05-21,0.006923451,0.0041,-0.0026,0.0036,0.00004,0.008081687,0.000239655,0.001357891
2003-05-22,-0.001383174,0.0096,-0.0019,0.0005,0.00004,0.001398479,-0.001279235,0.001462418
2003-05-23,0.003831095,0.0026,0.0028,0.0044,0.00004,0.005774734,-0.000776562,0.001127077
2003-05-27,0.000635248,0.0195,0.0057,-0.0113,0.00004,0.00284865,-0.000842678,0.001330724
2003-05-28,0.003827201,0.0022,0.0075,-0.0044,0.00004,0.005128038,0,0.001260837
2003-05-29,0.010316819,-0.0026,0.0099,0.002,0.00004,0.011520347,0,0.001163528
2003-05-30,0.003492305,0.0153,0.0026,0.0004,0.00004,0.004938054,0,0.001405749
2003-06-02,-0.001517787,0.0039,-0.0032,0.0068,0.00005,-0.000384166,0,0.001083621
2003-06-03,-0.004810639,0.0039,0.0011,-0.0056,0.00005,-0.003184447,-0.000171293,0.001404899
2003-06-04,0.001921289,0.0156,0.0011,0.0013,0.00005,0.003462189,-0.000188213,0.001302687
2003-06-05,-0.000959227,0.0055,0.009,-0.0072,0.00005,0.000222774,0,0.001132001
2003-06-06,-0.002031634,-0.0033,-0.001,-0.004,0.00005,-0.001026636,0.000263235,0.001218233
2003-06-09,0.001869658,-0.0131,-0.0024,0.0001,0.00005,0.001951974,0.00109471,0.001127026
2003-06-10,0.000881894,0.0095,0.0046,-0.0002,0.00005,0.002162016,-0.000230076,0.001000046
2003-06-11,0.004942519,0.0129,-0.0046,0.0038,0.00005,0.0070818,-0.000766728,0.001322553
2003-06-12,-0.002233259,0.0018,0.0002,0.0036,0.00005,-0.000336351,-0.000473899,0.001373009
2003-06-13,-0.003423066,-0.0102,-0.0021,0.0007,0.00005,-0.002214032,0,0.001159034
2003-06-16,0.003128926,0.0215,-0.0037,-0.0054,0.00005,0.005076546,-0.0007479,0.00114972
2003-06-17,0.0077662,0.0013,0.003,-0.0033,0.00005,0.009150783,0,0.001334583
2003-06-18,0.000310671,-0.0015,0.0031,-0.0016,0.00005,0.002107858,0,0.001747187
2003-06-19,0.000446718,-0.0149,0.0005,0.0065,0.00005,0.001771991,0.000308831,0.001584104
2003-06-20,0.003998474,0.0005,-0.0019,0.0007,0.00005,0.004698284,0.000620227,0.001270037
2003-06-23,0.003509862,-0.0152,-0.0063,0.0017,0.00005,0.004942255,-8.42E-05,0.001298193
2003-06-24,-0.001131068,0.0019,0.0007,0.0023,0.00005,0.000255408,0,0.001336476
2003-06-25,0.001661119,-0.006,0.0107,-0.0001,0.00005,0.003452549,0,0.00174143
2003-06-26,-0.00330261,0.0112,0.0039,-0.0047,0.00005,-0.001681143,0,0.001571467
2003-06-27,0.003619675,-0.0084,0.0056,0.0022,0.00005,0.005032826,0.000041255,0.001404406
2003-06-30,-0.007634795,-0.0017,-0.0014,0.0035,0.00005,-0.006730063,0.0004716,0.001326332
2003-07-01,0.004734263,0.0073,-0.0043,-0.0006,0.00003,0.006378543,0,0.00161428
2003-07-02,-0.003107065,0.0128,0.0106,0.0009,0.00003,-0.001236251,-0.00048348,0.001357334
2003-07-03,-0.006957837,-0.0072,0.0027,-0.001,0.00003,-0.005663082,0.000242325,0.00150708
2003-07-07,-0.008268771,0.0191,-0.0016,0.0035,0.00003,-0.006889404,0,0.001349367
2003-07-08,-0.004929429,0.0051,0.0131,0.0005,0.00003,-0.004140048,0.000739857,0.001499238
2003-07-09,0.000724045,-0.0034,0.0099,0.0035,0.00003,0.001997927,0,0.001243882
2003-07-10,0.013024292,-0.0133,0,-0.0028,0.00003,0.014764966,-0.00039772,0.001312954
2003-07-11,0.00601302,0.0092,0.0007,-0.0006,0.00003,0.00770628,-0.000436338,0.001226922
2003-07-14,0.004995318,0.0073,0.0014,0.0024,0.00003,0.006203576,0,0.001178258
2003-07-15,0.010037327,-0.0041,0.0009,-0.0006,0.00003,0.011589053,0,0.001521726
2003-07-16,0.002901927,-0.0064,0.0021,-0.0027,0.00003,0.004674836,-0.000226106,0.001516803
2003-07-17,0.004098485,-0.0145,-0.0122,-0.0048,0.00003,0.005442658,0.00017633,0.001490503
2003-07-18,0.002683751,0.0108,-0.0015,-0.0009,0.00003,0.004335224,0,0.001621473
2003-07-21,-0.005414335,-0.0142,0.0003,-0.0042,0.00003,-0.00397936,0.000146845,0.00155182
2003-07-22,0.018444551,0.0097,0.003,0.0045,0.00003,0.02025678,-0.000177405,0.001604824
2003-07-23,0.002657644,0.0018,0.0066,-0.01,0.00003,0.004443622,-0.000070227,0.001685751
2003-07-24,0.004032405,-0.0065,0.0024,0.0044,0.00003,0.006006966,-0.000148525,0.001796036
2003-07-25,-0.003147953,0.0151,-0.0063,-0.0031,0.00003,-0.001237338,-0.000317176,0.001563439
2003-07-28,-0.008541811,-0.0002,0.0096,0.0029,0.00003,-0.007226729,0,0.001285082
2003-07-29,-0.0041965,-0.0057,0.0051,-0.0003,0.00003,-0.002712979,0,0.001453521
2003-07-30,-0.003201498,-0.0018,0.0028,-0.0067,0.00003,-0.002008113,0,0.001163385
2003-07-31,0.000365726,0.0032,0.0026,0.0024,0.00003,0.001517733,0,0.001122007
2003-08-01,0.008496728,-0.0106,-0.0046,-0.0012,0.00003,0.009762251,0,0.001235523
2003-08-04,-0.002904272,0.0011,-0.0063,-0.0034,0.00003,-0.001864818,0.000347625,0.001357079
2003-08-05,-0.006198325,-0.0171,0.0038,-0.0004,0.00003,-0.004734462,0,0.001433863
2003-08-06,0.001152138,0.0002,-0.0098,0.0045,0.00003,0.00238935,0,0.001207212
2003-08-07,0.020098816,0.0057,-0.0049,-0.0052,0.00003,0.021704346,0,0.00157553
2003-08-08,0.002678108,0.0033,-0.0046,0.0012,0.00003,0.006519823,-0.00220074,0.001610975
2003-08-11,0.014747688,0.0043,0.0071,-0.0002,0.00003,0.016329877,0,0.001552189
2003-08-12,-0.000413162,0.0109,0.0047,0.001,0.00003,0.001245981,0,0.001629143
2003-08-13,0.001301929,-0.005,0.0068,0.0004,0.00003,0.000917215,0.001899772,0.001485058
2003-08-14,-0.004689281,0.0062,0.0009,0.0043,0.00003,-0.003250664,0,0.001408617
2003-08-15,-0.002074904,0.001,0.0021,-0.0017,0.00003,-0.000488736,-0.000439844,0.001116324
2003-08-18,-0.003123255,0.0103,0.0086,0.0008,0.00003,-0.0015977,6.06E-05,0.001556155
2003-08-19,0.00244375,0.0043,0.0098,0.0061,0.00003,0.003838303,0,0.001364553
2003-08-20,-0.002855333,-0.0014,0.0037,0.0003,0.00003,-0.001632633,0,0.0011927
2003-08-21,0.009614681,0.0047,0.006,0.0031,0.00003,0.011273923,0,0.001629242
2003-08-22,0.003666538,-0.0106,-0.0059,0.0011,0.00003,0.005083311,0,0.001386773
2003-08-25,-0.000739323,-0.0004,-0.001,-0.0032,0.00003,0.000861482,-0.000400821,0.001169984
2003-08-26,0.00944433,0.0029,0.0018,0.0008,0.00003,0.011041199,-0.000175435,0.001391434
2003-08-27,0.004810628,0.0017,0.0082,0.0005,0.00003,0.006587272,0,0.001746644
2003-08-28,0.009445294,0.007,0.0022,0.0026,0.00003,0.010979543,0,0.001504249
2003-08-29,8.7508E-05,0.0053,-0.0033,0.0032,0.00003,0.001784973,0,0.001667465
2003-09-02,-0.000984124,0.014,0.0054,-0.0008,0.00004,0.000316813,0,0.001260937
2003-09-03,-0.002369955,0.0042,0.0027,0.0027,0.00004,-0.000976488,0,0.001353467
2003-09-04,0.003669573,0.0022,0.0045,-0.0016,0.00004,0.005578493,-0.000507835,0.001361085
2003-09-05,0.008951266,-0.0062,-0.0006,0.0023,0.00004,0.010562066,0,0.0015708
2003-09-08,0.005290033,0.0107,0.0064,-0.0015,0.00004,0.00702266,0,0.001692627
2003-09-09,-0.00201943,-0.0079,0.003,-0.0024,0.00004,-0.000319898,0,0.001659532
2003-09-10,0.001797261,-0.0137,-0.0053,-0.0063,0.00004,0.003606856,0,0.001769595
2003-09-11,-0.004853316,0.0062,0.0059,0.001,0.00004,-0.002781797,-0.000679719,0.0013518
2003-09-12,0.002514141,0.0023,0.0017,0.0014,0.00004,0.004697695,-0.000907713,0.001235841
2003-09-15,0.010594395,-0.0035,0.0024,-0.0013,0.00004,0.012649963,-0.00060322,0.001412348
2003-09-16,-0.001312656,0.014,0.0009,0.001,0.00004,7.49E-05,0.000191038,0.001538594
2003-09-17,0.000151117,-0.0026,0.0016,0.0022,0.00004,0.002028059,-0.0003753,0.001461642
2003-09-18,0.000293356,0.0125,-0.0055,0.0024,0.00004,0.000653443,0.00111012,0.001430207
2003-09-19,0.002629449,-0.0023,0.0047,0.0001,0.00004,0.00408888,0,0.001419431
2003-09-22,0.006113184,-0.013,0.0019,0.0014,0.00004,0.007909169,-0.000134334,0.001621651
2003-09-23,0.008862872,0.0065,0.0051,0.0004,0.00004,0.009825022,0.0002514,0.00117355
2003-09-24,0.002940889,-0.0188,-0.0021,0.0008,0.00004,0.004832356,-0.00033354,0.001517927
2003-09-25,0.001301292,-0.0081,-0.0161,-0.0025,0.00004,0.002859319,0.00027125,0.001789277
2003-09-26,-0.004913707,-0.0084,-0.0126,0.0002,0.00004,-0.001949036,-0.001532927,0.001391744
2003-09-29,0.003501848,0.0098,0.0048,0.001,0.00004,0.00499453,0,0.001452682
2003-09-30,0.002341091,-0.0096,-0.0003,0.0011,0.00004,0.003823338,0,0.001442247
2003-10-01,0.009648555,0.0216,0.0037,0.0017,0.00003,0.01084413,-0.0000999,0.001065675
2003-10-02,-0.001707075,0.0031,0.0013,0.0011,0.00003,-0.000559359,0,0.001117716
2003-10-03,0.005188534,0.0102,0.0068,-0.0002,0.00003,0.006667049,-0.000187425,0.00126109
2003-10-06,-0.000603785,0.0049,0.0036,0.0038,0.00003,0.000862262,-0.000272499,0.001163548
2003-10-07,-0.00472369,0.0051,0.0033,0.0015,0.00003,-0.003310248,0,0.001383442
2003-10-08,0.00097829,-0.0048,-0.0028,0.0019,0.00003,0.002631413,0,0.001623123
2003-10-09,0.002642777,0.0055,0.0027,0.0038,0.00003,0.003095884,0.000973241,0.001396348
2003-10-10,-0.00362034,-0.0008,-0.0043,0.0045,0.00003,-0.002164905,0,0.001425435
2003-10-13,-0.004200101,0.0081,0.0078,0.0012,0.00003,-0.002535909,-0.000435957,0.001198235
2003-10-14,-0.007971073,0.0044,0.0048,0.0016,0.00003,-0.006397843,-0.000111072,0.001432158
2003-10-15,-0.004209655,-0.0036,-0.003,-0.0009,0.00003,-0.002744273,0,0.001435382
2003-10-16,0.006244888,0.0035,0.0012,0.0003,0.00003,0.007814076,-0.000228327,0.001310861
2003-10-17,0.00612716,-0.0111,-0.0049,-0.0003,0.00003,0.006874028,0.000245123,0.000961991
2003-10-20,-0.00247529,0.0041,-0.001,-0.0021,0.00003,-0.001291917,0,0.001153373
2003-10-21,-0.000144753,0.0024,0.0064,-0.0022,0.00003,0.001258125,0,0.001372878
2003-10-22,0.002602077,-0.0152,-0.0067,-0.0004,0.00003,0.004201424,0,0.001569347
2003-10-23,0.008413041,0.0022,-0.007,-0.003,0.00003,0.009841818,0,0.001398777
2003-10-24,0.023269944,-0.0045,-0.0034,-0.0001,0.00003,0.024637545,0,0.001337601
2003-10-27,0.004365443,0.004,0.0115,0.0038,0.00003,0.006186375,-0.000152192,0.00163874
2003-10-28,0.005003455,0.0159,0.0048,-0.0019,0.00003,0.006018742,0.000335055,0.001320342
2003-10-29,-0.003457561,0.0028,0.0081,0.0025,0.00003,-0.001717461,-0.000229109,0.001480991
2003-10-30,-0.015307031,-0.0011,-0.0014,0.0028,0.00003,-0.013753151,0,0.00152388
2003-10-31,0.000611915,0.0028,-0.0059,-0.0012,0.00003,0.002040932,0,0.001399017
2003-11-03,-0.002293437,0.0093,0.0067,0.0045,0.00004,-0.000879894,0,0.001373543
2003-11-04,-0.003977589,-0.0045,0.0075,0.004,0.00004,-0.002690869,0,0.00124672
2003-11-05,-0.003182313,-0.0004,0.0022,-0.0007,0.00004,-0.002505868,0.000532081,0.001168526
2003-11-06,0.002785154,0.0058,0.0007,0.0019,0.00004,0.004026981,0,0.001201827
2003-11-07,0.008610083,-0.0033,0.0034,0.003,0.00004,0.010080415,-0.000411,0.001019332
2003-11-10,0.007771789,-0.0074,-0.0098,-0.0006,0.00004,0.009265748,-0.000253809,0.00120015
2003-11-11,-0.004456024,-0.0021,-0.0058,-0.0012,0.00004,-0.002482711,-0.000395733,0.00153758
2003-11-12,0.003114783,0.0133,0.0102,-0.0026,0.00004,0.004704706,-0.000183667,0.001366256
2003-11-13,0.004408103,0.0003,0.0023,-0.0026,0.00004,0.00619688,-0.00014382,0.001604957
2003-11-14,0.011344459,-0.0083,-0.006,-0.0012,0.00004,0.012677676,0,0.001293217
2003-11-17,0.001086061,-0.0072,-0.0065,-0.0019,0.00004,0.003188899,-0.000247109,0.001815729
2003-11-18,-0.004665932,-0.0087,0.0012,0.0006,0.00004,-0.00293105,-0.000532778,0.001162104
2003-11-19,0.000804101,0.0076,0.0009,-0.0006,0.00004,0.001947771,0,0.00110367
2003-11-20,-0.000773416,-0.0077,0.0012,0.0004,0.00004,0.000387514,0,0.00112093
2003-11-21,0.006348122,0.0021,0.0013,0.006,0.00004,0.009363433,-0.001715149,0.001260162
2003-11-24,-0.012749492,0.0171,0.0072,-0.0001,0.00004,-0.009373851,-0.00219324,0.001142401
2003-11-25,0.011324102,0.0031,0.0026,0.0055,0.00004,0.012799989,-0.000286027,0.00114986
2003-11-26,0.001150545,0.004,-0.001,0.0046,0.00004,0.002390294,0,0.001199749
2003-11-28,0.005439692,0.0011,0.0027,-0.0019,0.00004,0.006447971,0,0.000968279
2003-12-01,-0.003616555,0.0111,0.0036,-0.0004,0.00004,-0.00235881,0,0.001217745
2003-12-02,-0.011339864,-0.0027,0.0013,0.0012,0.00004,-0.009968409,0,0.001331455
2003-12-03,0.000634389,-0.0034,-0.0114,0.0027,0.00004,0.001711116,-0.000049625,0.000987102
2003-12-04,-0.003869431,0.0026,-0.0035,-0.003,0.00004,-0.000873172,-0.00149172,0.001464539
