Date,Daily Return,Mkt-RF,SMB,HML,RF,Strategy Return,Dividends,
2003-02-06,-0.010011718,-0.0064,-0.0001,0.0017,0.00005,-0.005961718,0,0.004
2003-02-07,-0.000596724,-0.0106,-0.0042,-0.0024,0.00005,0.001899358,0,0.002446082
2003-02-10,0.004904661,0.0069,0.0009,0.0006,0.00005,0.008383588,-0.00107384,0.002355087
2003-02-11,0.00023018,-0.0071,0.003,-0.0026,0.00005,0.002423259,0,0.002143079
2003-02-12,0.004128876,-0.0125,0.0017,0.0013,0.00005,0.0071528,-0.00021504,0.002758884
2003-02-13,0.004877047,-0.0026,-0.0003,-0.0025,0.00005,0.008210207,-0.000721356,0.002561804
2003-02-14,0.002963661,0.019,-0.0084,-0.006,0.00005,0.004979616,0.000465125,0.00243108
2003-02-18,0.004725185,0.0197,-0.0042,-0.0006,0.00005,0.007677288,-0.00018395,0.002718153
2003-02-19,0.009577484,-0.007,-0.0029,-0.0001,0.00005,0.014603393,-0.00213866,0.002837249
2003-02-20,0.00475768,-0.0083,0.0086,-0.0016,0.00005,0.006345342,0.00151544,0.003053102
2003-02-21,-0.003516866,0.0131,-0.0019,0.0009,0.00005,-0.000618866,0,0.002848
2003-02-24,0.002816884,-0.0178,0.0044,-0.0019,0.00005,0.006227826,-0.000412844,0.002948098
2003-02-25,0.006333322,0.007,0.0005,-0.0017,0.00005,0.009437599,-0.000118467,0.00293581
2003-02-26,-0.000622282,-0.0122,0.0016,0.0048,0.00005,0.003163363,0,0.003735645
2003-02-27,0.006048989,0.0115,-0.0028,-0.0016,0.00005,0.009267386,0,0.003168397
2003-02-28,-4.9822E-05,0.0041,-0.0076,0.0025,0.00005,0.003943963,0,0.003943785
2003-03-03,-0.000716388,-0.0067,0.0008,0.0049,0.00005,0.003376668,-0.000416925,0.003626131
2003-03-04,0.002517035,-0.0144,0.01,-0.0048,0.00005,0.00579381,0,0.003226775
2003-03-05,0.000013735,0.0078,-0.0093,0.001,0.00005,0.003397162,0,0.003333427
2003-03-06,0.004094217,-0.0084,0.0013,0.0012,0.00005,0.00738372,0,0.003239503
2003-03-07,-0.006842343,0.0076,-0.0074,-0.0007,0.00005,-0.003381706,0,0.003410637
2003-03-10,-0.010268212,-0.0236,0.0088,0.0001,0.00005,-0.005213339,-0.002100631,0.002904242
2003-03-11,-0.004662289,-0.0081,0.0091,-0.0061,0.00005,-0.001630976,0,0.002981313
2003-03-12,-0.000615754,0.0032,-0.003,-0.0062,0.00005,0.002119428,0,0.002685182
2003-03-13,0.003807604,0.0339,-0.009,-0.0056,0.00005,0.006677851,-0.000445895,0.002374352
2003-03-14,-0.001541921,0.0013,-0.0052,0.0024,0.00005,0.006003881,-0.004413139,0.003082663
2003-03-17,0.015048997,0.0341,-0.0077,-0.0016,0.00005,0.017535995,0,0.002436998
2003-03-18,0.003237936,0.0044,0.006,-0.0079,0.00005,0.006893062,0,0.003605126
2003-03-19,0.001977925,0.0072,-0.0042,-0.0029,0.00005,0.005150481,-0.000215532,0.002907024
2003-03-20,-0.004872714,0.0028,-0.0003,0.0055,0.00005,-0.002237468,0,0.002585246
2003-03-21,0.000347769,0.0219,-0.0082,-0.0009,0.00005,0.003152729,0,0.00275496
2003-03-24,-0.000621236,-0.0336,0.0124,0.0015,0.00005,0.001686353,0.000229311,0.0024869
2003-03-25,0.000674118,0.0121,-0.0012,-0.0002,0.00005,0.003081472,0,0.002357354
2003-03-26,0.008830235,-0.0055,-0.0015,-0.0037,0.00005,0.012173571,0,0.003293336
2003-03-27,-0.002148579,-0.0009,0.0067,-0.0002,0.00005,0.000970647,0,0.003069226
2003-03-28,0.002757213,-0.0048,0.003,0.0017,0.00005,0.003626811,0.001658795,0.002478393
2003-03-31,0.002910242,-0.0165,0.0077,0.0034,0.00005,0.006183686,0,0.003223444
2003-04-01,-0.003665959,0.0112,-0.0027,0.0032,0.00005,-0.0004205,0,0.003195459
2003-04-02,0.006362193,0.026,-0.0035,-0.0077,0.00005,0.009332828,0.00019182,0.003112455
2003-04-03,0.001306666,-0.0049,0.0044,-0.0005,0.00005,0.005143364,-0.000267048,0.00351965
2003-04-04,-0.005668801,0.0015,-0.0078,0.0044,0.00005,-0.00233885,0,0.003279951
2003-04-07,-0.006645774,0.0018,0.004,0.006,0.00005,-0.003740705,0,0.002855069
2003-04-08,-0.003437879,-0.0024,-0.0033,0.0016,0.00005,-0.000230379,-0.000522784,0.002634716
2003-04-09,-0.000256022,-0.0128,0.0049,0.0077,0.00005,0.002703073,-0.000137802,0.002771293
2003-04-10,-0.000461279,0.0052,-0.0026,-0.0023,0.00005,0.001849859,0.0002836,0.002544738
2003-04-11,0.002735323,-0.0032,0.0005,-0.0008,0.00005,0.005397366,-0.000192,0.002420043
2003-04-14,0.001510008,0.0188,-0.004,-0.0002,0.00005,0.004973328,-0.000770323,0.002642997
2003-04-15,-0.004954856,0.0062,0.0005,-0.0036,0.00005,-0.001617226,0,0.00328763
2003-04-16,0.009131873,-0.0111,0.0061,-0.0004,0.00005,0.011816402,0.000447375,0.003081904
2003-04-17,-0.000646664,0.0152,0.0002,0.0006,0.00005,0.002733726,0.00013518,0.00346557
2003-04-21,-0.000278262,-0.0011,0.004,0.0004,0.00005,0.002648664,0.000259977,0.003136903
2003-04-22,-0.009720251,0.0207,-0.0093,0.0024,0.00005,-0.007147845,-0.000296599,0.002225807
2003-04-23,-0.000609887,0.0089,-0.0027,0.0036,0.00005,0.00186949,0.000107922,0.002537299
2003-04-24,0.003944742,-0.0081,0.0055,-0.002,0.00005,0.006135065,0,0.002140323
2003-04-25,0.001088163,-0.013,0.0064,-0.0007,0.00005,0.003817442,-0.000308949,0.00237033
2003-04-28,-0.000799593,0.0176,-0.0002,-0.0012,0.00005,0.001652891,-0.0002775,0.002124984
2003-04-29,0.003207705,0.0034,-0.0024,-0.0025,0.00005,0.005928841,0,0.002671136
2003-04-30,0.007280993,0.0003,0.0074,0.0024,0.00005,0.009430767,0,0.002099774
2003-05-01,-0.00784046,-0.0003,0.0041,-0.0022,0.00004,-0.005038948,-0.000459788,0.002301724
2003-05-02,0.007748677,0.0156,0.0056,-0.004,0.00004,0.010484641,0,0.002695964
2003-05-05,-0.002551575,-0.0019,0.0083,-0.0037,0.00004,-0.00056536,0.001118462,0.003064677
2003-05-06,0.00583685,0.008,-0.0015,0.0014,0.00004,0.008024154,-0.0001314,0.002015904
2003-05-07,-0.008560967,-0.0046,-0.0009,0.006,0.00004,-0.006451483,0,0.002069484
2003-05-08,-0.002906902,-0.0099,0.0051,0.0006,0.00004,-0.000406049,0,0.002460853
2003-05-09,0.000920643,0.0139,0.001,-0.0016,0.00004,0.003274759,0,0.002314116
2003-05-12,-0.000328463,0.0125,-0.001,-0.0009,0.00004,0.001563688,0.0004485,0.002300651
2003-05-13,-0.003888931,-0.0023,0.0042,0.0036,0.00004,-0.001674257,0,0.002174674
2003-05-14,-0.001937064,-0.0023,0.0026,0.0004,0.00004,0.000589151,0.000395769,0.002881984
2003-05-15,-0.001376694,0.0074,-0.0016,-0.0003,0.00004,0.00177254,-0.000719802,0.002389432
2003-05-16,0.001068786,-0.0031,-0.017,0.0107,0.00004,0.003087545,0,0.001978759
2003-05-19,-0.006043269,-0.023,0.0085,0.0001,0.00004,-0.003982866,0.000422158,0.002442561
2003-05-20,0.004579856,-0.0012,0.0014,-0.0008,0.00004,0.007096349,-0.000264375,0.002212118
2003-05-21,0.00556556,0.0041,-0.0026,0.0036,0.00004,0.008081687,0.000239655,0.002715782
2003-05-22,-0.002845591,0.0096,-0.0019,0.0005,0.00004,0.001398479,-0.001279235,0.002924835
2003-05-23,0.002704017,0.0026,0.0028,0.0044,0.00004,0.005774734,-0.000776562,0.002254155
2003-05-27,-0.000695476,0.0195,0.0057,-0.0113,0.00004,0.00284865,-0.000842678,0.002661448
2003-05-28,0.002566364,0.0022,0.0075,-0.0044,0.00004,0.005128038,0,0.002521674
2003-05-29,0.009153291,-0.0026,0.0099,0.002,0.00004,0.011520347,0,0.002327056
2003-05-30,0.002086557,0.0153,0.0026,0.0004,0.00004,0.004938054,0,0.002811497
2003-06-02,-0.002601409,0.0039,-0.0032,0.0068,0.00005,-0.000384166,0,0.002167243
2003-06-03,-0.006215539,0.0039,0.0011,-0.0056,0.00005,-0.003184447,-0.000171293,0.002809799
2003-06-04,0.000618601,0.0156,0.0011,0.0013,0.00005,0.003462189,-0.000188213,0.002605375
2003-06-05,-0.002091228,0.0055,0.009,-0.0072,0.00005,0.000222774,0,0.002264002
2003-06-06,-0.003249867,-0.0033,-0.001,-0.004,0.00005,-0.001026636,0.000263235,0.002436466
2003-06-09,0.000742632,-0.0131,-0.0024,0.0001,0.00005,0.001951974,0.00109471,0.002254052
2003-06-10,-0.000118152,0.0095,0.0046,-0.0002,0.00005,0.002162016,-0.000230076,0.002000092
2003-06-11,0.003619966,0.0129,-0.0046,0.0038,0.00005,0.0070818,-0.000766728,0.002645106
2003-06-12,-0.003606268,0.0018,0.0002,0.0036,0.00005,-0.000336351,-0.000473899,0.002746018
2003-06-13,-0.004582099,-0.0102,-0.0021,0.0007,0.00005,-0.002214032,0,0.002318067
2003-06-16,0.001979206,0.0215,-0.0037,-0.0054,0.00005,0.005076546,-0.0007479,0.00229944
2003-06-17,0.006431616,0.0013,0.003,-0.0033,0.00005,0.009150783,0,0.002669167
2003-06-18,-0.001436516,-0.0015,0.0031,-0.0016,0.00005,0.002107858,0,0.003494374
2003-06-19,-0.001137385,-0.0149,0.0005,0.0065,0.00005,0.001771991,0.000308831,0.003168207
2003-06-20,0.002728437,0.0005,-0.0019,0.0007,0.00005,0.004698284,0.000620227,0.002540074
