Date,Daily Return,Mkt-RF,SMB,HML,RF,Strategy Return,Dividends,Transaction costs
2003-02-06,-0.012011718,-0.0064,-0.0001,0.0017,0.00005,-0.005961718,0,0.006
2003-02-07,-0.001819765,-0.0106,-0.0042,-0.0024,0.00005,0.001899358,0,0.003669123
2003-02-10,0.003727118,0.0069,0.0009,0.0006,0.00005,0.008383588,-0.00107384,0.00353263
2003-02-11,-0.00084136,-0.0071,0.003,-0.0026,0.00005,0.002423259,0,0.003214619
2003-02-12,0.002749434,-0.0125,0.0017,0.0013,0.00005,0.0071528,-0.00021504,0.004138326
2003-02-13,0.003596145,-0.0026,-0.0003,-0.0025,0.00005,0.008210207,-0.000721356,0.003842706
2003-02-14,0.001748121,0.019,-0.0084,-0.006,0.00005,0.004979616,0.000465125,0.00364662
2003-02-18,0.003366108,0.0197,-0.0042,-0.0006,0.00005,0.007677288,-0.00018395,0.00407723
2003-02-19,0.00815886,-0.007,-0.0029,-0.0001,0.00005,0.014603393,-0.00213866,0.004255873
2003-02-20,0.003231128,-0.0083,0.0086,-0.0016,0.00005,0.006345342,0.00151544,0.004579654
2003-02-21,-0.004940866,0.0131,-0.0019,0.0009,0.00005,-0.000618866,0,0.004272
2003-02-24,0.001342835,-0.0178,0.0044,-0.0019,0.00005,0.006227826,-0.000412844,0.004422147
2003-02-25,0.004865417,0.007,0.0005,-0.0017,0.00005,0.009437599,-0.000118467,0.004403715
2003-02-26,-0.002490105,-0.0122,0.0016,0.0048,0.00005,0.003163363,0,0.005603468
2003-02-27,0.00446479,0.0115,-0.0028,-0.0016,0.00005,0.009267386,0,0.004752596
2003-02-28,-0.002021715,0.0041,-0.0076,0.0025,0.00005,0.003943963,0,0.005915678
2003-03-03,-0.002529454,-0.0067,0.0008,0.0049,0.00005,0.003376668,-0.000416925,0.005439197
2003-03-04,0.000903647,-0.0144,0.01,-0.0048,0.00005,0.00579381,0,0.004840163
2003-03-05,-0.001652978,0.0078,-0.0093,0.001,0.00005,0.003397162,0,0.00500014
2003-03-06,0.002474466,-0.0084,0.0013,0.0012,0.00005,0.00738372,0,0.004859254
2003-03-07,-0.008547661,0.0076,-0.0074,-0.0007,0.00005,-0.003381706,0,0.005115955
